Date,Review,Reviewer,Ratings,Userprofilelocation,Userprofilelocation,Parkname,datasource
11/9/2019,"The sinkhole at Devil's Millhopper is definitely one of the coolest things I've ever seen! The stairs lead you down to a giant ~puddle~ of different tones of blue. The sounds of mini ""waterfalls"" pattering around you is so peaceful and surreal... it makes you feel like you're in a disney movie. The trail itself is pretty short, and the the bridge that connects the loop is under repair so you have to turn around halfway or just stay at the sinkhole. Despite how short it is, it's absolutely beautiful and I appreciate the numerous benches along the way of the trail.",Selina I.,5 star rating,"Gainesville, FL","Bronx, NY",Devil's Millhopper State Geological Site,yelp
11/9/2019,Wonderful park. So peaceful. A number of crazy people swimming in what I consider to be freezing cold water. ;-) (69 degrees). The guided boat tour worth the drive. Great info from the ranger. Saw lots of wildlife. Including probably 15 or more gators. Pretty cool!,A S.,5 star rating,"Prosper, TX","Bronx, NY",Edward Ball Wakulla Springs State Park,yelp
11/9/2019,"Fort clinch is absolutely amazing! The history and beauty behind this park is something that should be preserved for ages because of how amazing it is. Is you like history, war, and beautiful scenery, then this is the perfect place for you. Staff is very kind at the visitor center too. Definitely worth a visit!",Anthony S.,5 star rating,"Red Bank, NJ","Bronx, NY",Fort Clinch State Park,yelp
11/9/2019,"Stayed for 3 nights in a travel trailer. Stayed in a water/electric tent site so we could have a fire. Dumped on the way out, no problems. They are very relaxed and friendly. The grounds are very well kept and the bathrooms are beautiful and clean. Kayaked down there creek and had a great time. Very relaxing stay for all of us.",Cranberry Run C.,5 star rating,"East Stroudsburg, PA","Bronx, NY",Frog Creek Rv Campground,yelp
11/10/2019,"We visited today and did the extended glass bottom boat tour. It was awesome. The Captain was great. Funny and informative. Lots of cool history here in ""real FL"". We saw gators and manatees...no monkeys this time, but rumor has it, they're there. Definitely recommend. Family fun!",Alisha F.,5 star rating,"Meridian, MS","Bronx, NY",Silver Springs State Park,yelp
11/11/2019,"I love this sleepy stretch of beach that seems to be lost in time. Once you cross the Lion Bridge, the feeling changes immediately. Life seems slower. The business owners sweeter. And the wide open beach more inviting.My friend and I drove over from St. Augustine proper to watch the sunrise. Oh what a beautiful sight it was. the cold powder sand on our feet as we walked toward the water in the dark was so exciting. People and their puppies sprinkled around waiting, like us, for the same gift from God that we knew was coming.As the sun started to rise I thought about how it must feel to live on Anastasia Island and I smiled. All of a sudden we met a lovely couple who moved to the area because of this amazing state park. They came for a visit and fell in love. They retired and packed up their life to become regular visitors of Anastasia State Park.I will surely return to explore more of what is offered here.",Rhonda F.,5 star rating,"Chicago, IL","Bronx, NY",Anastasia State Park,yelp
11/12/2019,"Great spot to enjoy a shady spot for a barbecue, Key West Beaches and the most spectacular sunset views.",Melissa G.,5 star rating,"Tampa, FL","Bronx, NY",Fort Zachary Taylor State Park Beach,yelp
11/13/2019,"Okay this is such a cool, untouched beach! It's a must go! Drive your car and park as close to the water as you can! Wear chacos or water shoes as it's super rocky!! Beach chairs & umbrella are $30 to rent (super worth it)! They also have a snack stand with beer, food, etc!",Kelly A.,5 star rating,"Ballwin, MO","Bronx, NY",Fort Zachary Taylor State Park Beach,yelp
11/15/2019,"Beautiful park. $8 entrance fee.  Camp sites are large and very very clean.  Gift shop with tools for camping, they also serve food with nice outdoor seating area.  Playground. Kakak, and paddle board rentals in season.  Walkway to beach and dunes. Nature trail.Great place to camp or have a picnic or lay on the beach.",Nancy W.,4 star rating,"Sanford, FL","Bronx, NY",Anastasia State Park,yelp
11/16/2019,"Western most rail to trails in Florida. Shady, paved, very slight grade heading north. Numerous road crossings headed south. Bike repair stations, lots of benches and restrooms along trail. Paved, about 8 foot wide with low to moderate use. Visitors Center on trail had maps, picnic tables, very clean rest rooms and friendly rangers. All good",Jan S.,3 star rating,"St. Petersburg, FL","Bronx, NY",Blackwater Heritage State Trail,yelp
11/16/2019,"Opens at 8am and closes at sunset. $4 per car plus $2 per person in the car. Cash or card is accepted. Bring change, if paying in cash, because they don't carry change with them. Great location for hiking, biking, canoeing, picnics, and camping just to name a few. We went canoeing. Cost $25 for two hours plus $5 for every hour after. Up to three people can fit into one canoe. Very relaxing if your sitting in the middle like I was and just enjoying the jumping fish. Can easily spend the day on the water. Very clean park.",Kelly G.,5 star rating,"FL, FL","Bronx, NY",Jonathan Dickinson State Park,yelp
11/16/2019,"Amazing!! It was a fun boat ride with lots of wildlife, best part, seeing the manatees! We had a great boat instructor, really funny and keep the boat ride exciting. Glass bottom boat tours are great!",Gessenia C.,5 star rating,"Philadelphia, PA","Bronx, NY",Silver Springs State Park,yelp
11/17/2019,"This is a beautiful spot. We went in 10/19 and it was great. Relaxed, waded and played in the waves. So warm and beautiful. I will be back someday!",Tammera G.,5 star rating,"Omaha, NE","Bronx, NY",Anastasia State Park,yelp
11/17/2019,"I'm still puzzled by how the heck the water is always warm (73 degree) when it's 55 degree out?! Trippy but science rules as said by Bill Nye the science guy. I took my dog along and we went on the yellow trail. Im rating this as a 4 stars because I don't think the trails were the best ever, but it's exceptional for Florida, considering the state is flat. I wish I had brought my swim suit and googles, the water was gorgeous and was the perfect temp. Cool little waterfalls can be seen on the way to the trails.",Nicole M.,4 star rating,"Jacksonville, FL","Bronx, NY",Rainbow Springs State Park,yelp
11/17/2019,"The park is Beautiful and Relaxing!  Loved our visit. The glass-boat tour was so worth it!  Our guide was Joe Mac and he was amazing!  He truly has a natural gift for deadpan comedy and for retaining information.  Thanks so much, Joe, you made an already wonderful experience even more delightful!  New Orleans (the French Qrtr and the homeless there, in particular) ate up most of my cash :-/, so I opted to leave a great review which you deserve and then-some!  You are the absolute best tour guide I have ever had! We experienced quite a bit of wild-life and all of the staff we encountered were really great. At one time, this park was pretty popping. It hasn't been updated much in terms of the visitor center, however it still has charm and I can appreciate Mother Nature in her splendor, as well as the down-to-earth staff. The history on the nearby park for African-Americans made me cry since I am from the North where segregation was not so much a part of our history.  I am so sorry for what they had to go through, and yet, happy that they had a place they enjoyed and cherished so much.",Oldwest A.,5 star rating,"Sioux Falls, SD","Bronx, NY",Silver Springs State Park,yelp
11/18/2019,"Review # 894What an absolutely beautiful park located in Seminole county Florida.  I remember coming here as a teenager, and my how it has changed.  There is plenty of parking located near the main spring, I must caution you water is around 76°F at all times.  You see where the water comes out of the ground, and feeds the Wekivs River basin.  There are lots of nature trails, hiking trails, there is even an RV parking campground.I decided to take one of the paved roads and just keep driving, driving, and driving.  It wound up ending at a place where you can fish.  You can fish from right there at the waters edge, or launch your small canoe or kayak and do some fishing in the water.  My wife and I went on a Monday afternoon, so there were not very many people at the park at the time.  But I can see how this place can get really jammed up in the middle of a hot summer day.They charge you by the carload, and when we arrived there was nobody at the gate so we just drove on in.This is the part of Florida that you don't see in brochures, this is nature at its best.",George D.,5 star rating,"Orlando, FL","Bronx, NY",Wekiwa Springs State Park,yelp
11/19/2019,"Wakulla springs used to be crystal clear and lately they have been extremely murky and gross. You can't see the bottom and it's scary if you decide to jump from the high-rise. If you choose to go in the springs, it is very, very cold so be prepared if you bring children. Even on a hot day, it is ice cold. There is plenty of room to relax on land when you bring your whole family and it's an awesome picnic area. I hope somebody figures out the reason behind the murky water because it is a bit unpleasant but it is enjoyable just as much.",Daniela D.,3 star rating,"Fort Myers, FL","Bronx, NY",Edward Ball Wakulla Springs State Park,yelp
11/19/2019,What an incredible adventure.  This is as good as it gets being close to nature in incredible Florida.  Kayaking down the Weeki Watchi is unmatched with serene beauty and wildlife.,William R.,5 star rating,"FL, FL","Bronx, NY",Weeki Wachee Springs,yelp
11/20/2019,"Fort Mose is a pretty decent park in the St. Augustine area. We didn't go to the museum portion, so this is just based on the park itself. There's no entry fee and ample parking. The park is on the smaller side compared to many other state parks. There was what appeared to be a small walking trail in a wooded area, but it was short and didn't really go anywhere; it just led over to an area for official vehicles to park. There's one pier that gives a nice view of the salt marshes. The best feature is a longer boardwalk that goes over the marshes and leads out to a wide, scenic view and has some information about the salt marshes and animal and plant life found in the area. It's not a place that will occupy you all day, but it's a nice enough park to stop and explore for a little bit and enjoy being outside on a nice day.",Melinda S.,3 star rating,"Orlando, FL","Bronx, NY",Fort Mose Historic State Park,yelp
11/20/2019,"Fort Mose is a pretty decent park in the St. Augustine area. We didn't go to the museum portion, so this is just based on the park itself. There's no entry fee and ample parking. The park is on the smaller side compared to many other state parks. There was what appeared to be a small walking trail in a wooded area, but it was short and didn't really go anywhere; it just led over to an area for official vehicles to park. There's one pier that gives a nice view of the salt marshes. The best feature is a longer boardwalk that goes over the marshes and leads out to a wide, scenic view and has some information about the salt marshes and animal and plant life found in the area. It's not a place that will occupy you all day, but it's a nice enough park to stop and explore for a little bit and enjoy being outside on a nice day.",Melinda S.,3 star rating,"Orlando, FL","Bronx, NY",Fort Mose Historic State Park,yelp
11/20/2019,"We visited on a week day and were virtually the only people there. We walked the boardwalk to where it ends at the river. The spring head is a gorgeous turquoise color. We didn't camp, kayak, or take advantage of anything else the park had to offer, except a quick stop to the restrooms before heading out. I imagine this like any park can get quite crowded and noisy during peak times of the year. Especially at the end of the boardwalk there were a lot of Turkey Vultures. Not sure why, but don't be afraid. They are harmless and fly off the boardwalk into the trees.",Msabu N.,4 star rating,"Homosassa, FL","Bronx, NY",Manatee Springs State Park,yelp
11/21/2019,"Staff was awful. All rude. The rules are bent for those who know staff or are there long term. But strictly enforced on others. Facilities are old, dirty and dated. Pictures on line are far from what you actually get. Stay somewhere else, you'll be glad you did.",Kalynn W.,1 star rating,"Leggett, NC","Bronx, NY",Frog Creek Rv Campground,yelp
11/21/2019,"What a GREAT way to spend your day! Paynes Prairie is a beautiful gem that everyone should go visit. I went with my parents, sister, and her two young children and we all had an amazing time. When you stop by the visitor's center, they'll tell you about the several trails you can take on bike or by foot. There is an observation tower where we saw wild horses. If you're lucky, you can even see wild BISON! If you're an outdoor lover like me, you won't be disappointed with the beautiful scenery - they have both woodsy and more open trails for you to get a true feel of the preserve. I can't wait to return on my next trip to Gainesville!",Alexandra T.,5 star rating,"Fort Lauderdale, FL","Bronx, NY",Paynes Prairie Preserve State Park,yelp
11/21/2019,"The reviews about the campsites are dead on... it's a uniquely beautiful campsite and the small museum was informative and interesting.  The reason for the 3 star rating is because of the laundry facilities.  There are a total of 3 regular sized (not large capacity) washing machines to service 43 RV sites, and they are split between two locations (two outside one bathroom facility and one outside another bathroom at a different location).  The washing machines in an open air, covered porch so unless you do laundry in the middle of the day, you will be battling mosquitoes while you wait for your clothing to finish washing...  assuming you area able to catch an empty machine, that is.  Disappointing.",Ladonna W.,3 star rating,"Salina, KS","Bronx, NY",Stephen Foster Folk Culture State Park,yelp
11/21/2019,"What a beautiful and serene park. Went on a cold day when it was 50-60s F weather outside. Admission was $6 for vehicle. Took a walk along the springs which was very clear. There is a concession with food which smelled very good as well. Went on a trial which was quite long but was so peaceful. ""Be aware of bears"" signs were there, didn't see one but saw their tree bark bites as you'll notice. It's worth the drive, took us 40 mins from Orlando to come here.",Manuel P.,5 star rating,"Winter Park, FL","Bronx, NY",Wekiwa Springs State Park,yelp
11/23/2019,This place has seen better days.  We arrived on a cool and drizzly day.  Not ideal for enjoying their water park so we just took the boat ride and saw the mermaid show.The boat ride was mildly interesting though short  - the water certainly is as clear as glass.  We killed some time making plastic molded mermaids and then went to the show.The snake show at the beginning was humorous.  We realized that the mermaid shows are different and the one we saw was the Little Mermaid - certainly aimed at the few kids in the audience.  Overall it was OK and definitely did not infringe on any Disney songs.  It was impressive how the actresses did all of their moves while breathing through those hoses.I really like kitschy Florida attractions but this one has lost its kitsch and was just sad. I am sure I would not come back.,PJ C.,3 star rating,"Madison, WI","Bronx, NY",Weeki Wachee Springs,yelp
11/24/2019,"This was my first time visiting Anastasia State Park. I had heard several great things about the park, and I finally received the opportunity to visit yesterday. We went on a Saturday in late November and arrived late in the afternoon (around 3 P.M.). The pass was $8 for an all day access to the park. We were only visiting for a few hours to take an engagement photo shoot for some friends, so please be aware that I did not get to partake in ALL that the park has to offer. This is only my opinion on the portion of the park that I was able to experience. The grounds were well kept and the park was exactly as described. The beaches were magnificent! There were beautiful small dunes, a seashell lined shore, and pristine nature. The park was not busy at this hour which was a huge plus for the relaxing day away from busy city life of Saint Augustine. I would highly recommend visiting the state park when possible!",Robert W.,5 star rating,"Gainesville, FL","Bronx, NY",Anastasia State Park,yelp
11/24/2019,"If you're looking for the Key West's finest beach, this is surely the place to go. Fort Zachary beach is a magical place, where Key West Gulf Coast meets the Atlantic. Many locals have said its the best place to watch the sunset. FZT also hosts the iconic haunted fort, yoga on the beach, & profound nature.",Tyler Z.,5 star rating,"Jacksonville, FL","Bronx, NY",Fort Zachary Taylor State Park Beach,yelp
11/24/2019,"Solid park for many occasions. I can see it as a good birthday party place. For our purposes, and for what seemed like everyone else's that day, it was to take pictures. I saw at least 3 other photographers setting up or already taking pics. Might have to get there early? Who knows. I agreed to take pictures for a friend and her littles ones for a Christmas card or something like that. It seems like the big draws are the houses and their porches/steps. They also have two bridges that I saw and a bunch of great trees to snap pics under. I imagine all sorts of events go on here. There is $5 charge to park which is reasonable. I can't say I'll be here all the time because it's a bit of a drive for me from the Cape but it's a great contender for pictures compared to Lakes Park in ft Myers.",Luis N.,5 star rating,"Cape Coral, FL","Bronx, NY",Koreshan State Park,yelp
11/26/2019,"I took some engagement photos for a friend here recently and it was my first time visiting. I have always heard great things about Anastasia but haven't had the pleasure of visiting and am so happy I had the opportunity! Right by the beach entrance was a little snack shop, bathrooms, outside shower, and tons of parking spaces, making a beach trip very enjoyable and easy! The beach itself was beautiful with rolling dunes and lots of seashells on the sand. We happened to go on a late fall day so the weather was beautiful and the beach was not crowded at all. Entry fee was $8 but I think it was worth it. I would love to come back and spend the day here in the future!",Kat W.,5 star rating,"Gainesville, FL","Bronx, NY",Anastasia State Park,yelp
11/26/2019,"Best swimming beach we saw! We were literally stopping at every beach as we were driving down the key, this was the most beautiful! I would recommend everyone to stop and take a dip.",Elizabeth L.,5 star rating,"La Puente, CA","Bronx, NY",Bahia Honda State Park,yelp
11/26/2019,"A lovely beach of white sands and sea shells. There is a $3 gate fee and the beach closes at sunset. They also offer kayak rentals on site with a nice launch area. The beach is simply covered in sea shells and for the well trained eye, fossil sharks teeth.",Lindsey C.,5 star rating,"Stockton, CA","Bronx, NY",Stump Pass Beach and Park,yelp
11/28/2019,"What a fun way to spend 1/2 of your day.  State park rangers do a great job as tour guides.  Pretty easy to do for all ages.  There are some areas where it is 4 ft tall for a few feet, so there is some bending crouching you need to do.",Robert H.,4 star rating,"Destin, FL","Bronx, NY",Florida Caverns State Park,yelp
11/29/2019,"Visiting the Manatees was AMAZING. We took our own Kayaks and we were short life jackets. The rental place did not rent just life jackets. A simple ""no I'm sorry we don't do that"" would have been totally fine. However what we received was approximately 8-10 college-aged I'll-informed and extremely rude employees that seemed much more interested in petting the cute French bulldog nearby and making themselves a plate of leftover thanksgiving food. Though the kayak launch is public the rental company took up at least 7/8 s of the launch and told us constantly to move. Everything but the staff of the rental cabin was AMAZING.",Aaron L.,3 star rating,"Sapulpa, OK","Bronx, NY",Blue Spring State Park,yelp
11/29/2019,"What an incredible island. Beautiful white sand beaches covered in an assortment of blush pink and orange shells of every size and shape. Lovely dunes with interesting cacti that were a surprise to see as well other plants such a tall clumping grasses, low dense shrubs and palms. Surrounded by dense mangroves and lagoons with upside down jellies, sea hares and jumping mullet. On a lucky day you may see manatees and dolphins. Only accessible by boat, kayak or stand up paddle board. Beaches are pristine and not crowded. Tons of gorgeous wildlife, such as conch, scallop, leopard crabs, and sea birds. Cute little boat dock. Bring a picnic lunch and dine in the shade at tables.",Lindsey C.,5 star rating,"Stockton, CA","Bronx, NY",Don Pedro State Park,yelp
11/29/2019,"The red tide didn't both us any today! It was a great time with some amazing views. Great photo opportunities, and beauty at its finest. Make sure to bring along plenty of water and sunscreen!",Krystle N.,5 star rating,"Wood Dale, IL","Bronx, NY",Stump Pass Beach and Park,yelp
11/30/2019,Amazing beach location in the keys which is rare. Very beautiful clear really shallow 2-4 feet forever. Park staff very helpful and nice! I was there early morning and there was very few people. I think the northern section was the best. Don't miss it!!,Scott J.,5 star rating,"Clive, IA","Bronx, NY",Bahia Honda State Park,yelp
12/1/2019,"I was enroute to a meeting in Sarasota, Florida and pulled off to get gas and seen this park. I decided to take a moment to check it out.This is a park to enjoy the lovely Florida weather, but it is so much more than that. It is a glimpse into the past, into a different world that the continuous steps of time keeps us seperated.If you find yourself in the area, I recommend a visit here. Park your car and walk into another time.",John M.,5 star rating,"Orlando, FL","Bronx, NY",Gamble Plantation,yelp
12/1/2019,"I was enroute to a meeting in Sarasota, Florida and pulled off to get gas and seen this park. I decided to take a moment to check it out.This is a park to enjoy the lovely Florida weather, but it is so much more than that. It is a glimpse into the past, into a different world that the continuous steps of time keeps us seperated.If you find yourself in the area, I recommend a visit here. Park your car and walk into another time.",John M.,5 star rating,"Orlando, FL","Bronx, NY",Gamble Plantation,yelp
12/1/2019,"I was enroute to a meeting in Sarasota, Florida and pulled off to get gas and seen this park. I decided to take a moment to check it out.This is a park to enjoy the lovely Florida weather, but it is so much more than that. It is a glimpse into the past, into a different world that the continuous steps of time keeps us seperated.If you find yourself in the area, I recommend a visit here. Park your car and walk into another time.",John M.,5 star rating,"Orlando, FL","Bronx, NY",Gamble Plantation,yelp
12/1/2019,"What a great little hidden treasure!  Don't let the outside of the building determine your thoughts on this place. It is just a building. Once you go inside, you need to hop on the boat to the actual attraction. The price per person is super reasonable especially since it is what helps keep this place open. If you have kids with you, I HIGHLY RECOMMEND you ask about doing the Junior Ranger booklet to get your pin and sticker. It is a few activity book where the answers are based on what the kids see and do. Just remember to BRING YOUR OWN PENS!My kids loved seeing manatees up close as well as the hippo. Super cool. There is also an area where you go into an underwater space and can look at the fish. We didn't get to stay long enough to see everything so we will have to go back. Oh eat before you go. They have a little food water, but I recommend stopping elsewhere nearby.",Lindsay W.,5 star rating,"Decatur, GA","Bronx, NY",Homosassa Springs State Wildlife Park,yelp
12/1/2019,"The fun of nature's amusement park of yore has been replaced with a nature park that has no animals, minimal wildlife that is in the form of birds and turtles, and a walking trail with multiple paths that lead to nowhere. I guess it's not fair to compare this park to what I remember as a kid, but I can't help it because the shell of all that has survived is a constant reminder. There appears to be one shop, one restaurant and one ice cream parlor. The rest of the vacant spaces look like junk storage areas. I saw a couple who looked to be planning a wedding, meeting with a representative over the various options. I heard the word ""ballroom"" so I perked up thinking perhaps I missed something. Then I saw the word ""ballroom"" over the door of a big dusty, dirty room with round tables that is on the strip where shops and restaurants once were.  The glass bottom boat tour was ok, but I think it's tacky to ask for tips. I also never saw the ""silver spring"" that the park is named for. I remember on tours back in the day, the captain would position the boat over a spring where the bottom sediment shined and spurted silver looking bits of whatever it is down there. Maybe if you want to canoe or kayak you'd have a better experience. I guess I was expecting too much for $2 and free parking. I'd pay more to be able to do and see more. I don't think I'd go back nor recommend anyone to make a special trip unless you have nothing else to do.",Christy O.,3 star rating,"Grapevine, TX","Wimauma, FL",Silver Springs State Park,yelp
12/1/2019,Wekiwa is such a pretty place to go kayaking or canoeing! You could even take your stand up paddle board. I would advise to get there early for two reasons. First you can beat the crowds and send it's a long 8 mile paddle. You could finish just in time for lUnch on the other side. The 8 miles ends on a stretch of beach that has food trucks and shelters one can rent and barbecue grills. Perfect for a whole day outing. I want to go again for sure.,Roxana V.,5 star rating,"Miami, FL","Minneapolis, MN",Wekiwa Springs State Park,yelp
12/2/2019,"Stopped by Maclay Gardens while visiting Tally, I always saw the sign from the interstate but never stopped in.  It is one of the smaller Florida State Parks but it is beautiful.  There were some flowers in bloom but not a large amount.  I enjoyed the reflecting pool and walled garden, which resembles a secret garden, it was very impressive I could have stayed there a while, the maintenance of that area was meticulous.  There is a pavilion that overlooks the lake which is a great place to relax and take the view in.  We went on a cloudy Saturday afternoon, it was not crowded.  There were several large oak trees.  This is NOT a pet-friendly park.  Pets other than service animals are NOT allowed in the garden area, outside of the garden is acceptable.  If you want to take some time to relax in a diverse garden area, I highly recommend Maclay Gardens.",Ryan W.,4 star rating,"Green Cove Springs, FL","Coral Way, Miami, FL",Alfred B  Maclay Gardens State Park,yelp
12/2/2019,"Beautiful beaches with picnic areas, bbq grills, and other facilities. Each parking area takes you very close to the beach so it is not a long walk in. Definitely makes it easy to get your stuff out to the beach. Making multiple trips back and forth is not a big deal at all because it is so close. We cooked on a bbq grill and had lunch with the family on picnic tables. We visited during the week of thanksgiving and we had no problem finding a spot. The beach was crowded but not overly crowded. Again, we were able to find a nice spot to set up without a problem. We also ""adopted"" a turtle. For a 20.00 donation they give your a turtle stuffed animal and the funds donated are used towards the turtles.",Branton J.,5 star rating,"Cumming, GA","Ormond Beach, FL",Delnor-Wiggins Pass State Park,yelp
12/2/2019,"I think I normally would have given it 5 stars, but we had a big issue that made us leave early. Great looking park! Our camping site was good. Plenty of coverage between our neighbors. Great camp store! Tons of stuff for sale. Even a deck with a view of the sunset. They serve some prepackaged food as well as beer and wine. I was really looking forward to spending some time there. We set up our campsite and enjoyed our first night. The bathrooms were close and very clean. The problem was found the next morning. Our dogs were covered in ticks! There was no way we could stay. One dog had multiple ticks already going into his skin. We packed up immediately. Our fur babies come first. After we packed up and we're ready to leave, one of our cars wouldn't start! We were ready to cry because we were so stressed at that point. Luckily, our campground host heard us and came to the rescue. He gave us a jump and we're off. We sooooo wanted this trip to turn out differently. It seemed like a great spot.",Stephanie W.,4 star rating,"Davenport, FL","Gainesville, FL",Tomoka State Park,yelp
12/2/2019,"I think I normally would have given it 5 stars, but we had a big issue that made us leave early. Great looking park! Our camping site was good. Plenty of coverage between our neighbors. Great camp store! Tons of stuff for sale. Even a deck with a view of the sunset. They serve some prepackaged food as well as beer and wine. I was really looking forward to spending some time there. We set up our campsite and enjoyed our first night. The bathrooms were close and very clean. The problem was found the next morning. Our dogs were covered in ticks! There was no way we could stay. One dog had multiple ticks already going into his skin. We packed up immediately. Our fur babies come first. After we packed up and we're ready to leave, one of our cars wouldn't start! We were ready to cry because we were so stressed at that point. Luckily, our campground host heard us and came to the rescue. He gave us a jump and we're off. We sooooo wanted this trip to turn out differently. It seemed like a great spot.",Stephanie W.,4 star rating,"Davenport, FL","New York, NY",Tomoka State Park,yelp
12/2/2019,"I think I normally would have given it 5 stars, but we had a big issue that made us leave early. Great looking park! Our camping site was good. Plenty of coverage between our neighbors. Great camp store! Tons of stuff for sale. Even a deck with a view of the sunset. They serve some prepackaged food as well as beer and wine. I was really looking forward to spending some time there. We set up our campsite and enjoyed our first night. The bathrooms were close and very clean. The problem was found the next morning. Our dogs were covered in ticks! There was no way we could stay. One dog had multiple ticks already going into his skin. We packed up immediately. Our fur babies come first. After we packed up and we're ready to leave, one of our cars wouldn't start! We were ready to cry because we were so stressed at that point. Luckily, our campground host heard us and came to the rescue. He gave us a jump and we're off. We sooooo wanted this trip to turn out differently. It seemed like a great spot.",Stephanie W.,4 star rating,"Davenport, FL","St. Augustine, FL",Tomoka State Park,yelp
12/2/2019,"I think I normally would have given it 5 stars, but we had a big issue that made us leave early. Great looking park! Our camping site was good. Plenty of coverage between our neighbors. Great camp store! Tons of stuff for sale. Even a deck with a view of the sunset. They serve some prepackaged food as well as beer and wine. I was really looking forward to spending some time there. We set up our campsite and enjoyed our first night. The bathrooms were close and very clean. The problem was found the next morning. Our dogs were covered in ticks! There was no way we could stay. One dog had multiple ticks already going into his skin. We packed up immediately. Our fur babies come first. After we packed up and we're ready to leave, one of our cars wouldn't start! We were ready to cry because we were so stressed at that point. Luckily, our campground host heard us and came to the rescue. He gave us a jump and we're off. We sooooo wanted this trip to turn out differently. It seemed like a great spot.",Stephanie W.,4 star rating,"Davenport, FL","St. Augustine, FL",Tomoka State Park,yelp
12/3/2019,"This is a lovely park that is a great place to take pictures and walk around. There is a loop trail that is paved, and is maybe 1/2 mile. It makes for a nice way to stretch your legs. There is a museum, but it has rather strange hours and so you need to check ahead before you go. This area seems to look more like a city park than a state park, and there is a nice place for a picnic and even a cool observation tower. There is also a bluff that overlooks the river. All in all it is very nice.",Ed W.,4 star rating,"Gainesville, FL","San Francisco, CA",Crystal River State Archaeological Site,yelp
12/3/2019,"State park rates can't beat it.  Staff is friendly, park is clean with sites well space out.  Gated entry- if u like the outdoors you ll love this place.  Would definitely come back.Tired",P O.,5 star rating,"Howell, MI","Washington, MI",Lake Manatee State Park,yelp
12/3/2019,"We stopped in at Wekiva Springs State Park because Kelly Park had filled up super early.  This is a beautiful place to go for a swim or spend the day in the sun watching the kids play, but is nowhere as good as Kelly Park.  You still have to get there early, as it will fill up and then they have to turn cars away.  Entrance is very inexpensive - $6 a carload.  The park and trees are beautiful coming in, and there is an area where you can even set up and grill out.  The swimming area is pretty packed on the weekend, and since it is spring water, it runs about 72 degrees year round.  There is a really cool underwater cave area where you can swim down and let the current carry you through and back up, which is a pretty cool feature!  We would never go here instead of Kelly Park, but it is still a fun spot and worth stopping in to check it out.",Nicole G.,4 star rating,"Travelers Rest, SC","Wimauma, FL",Wekiwa Springs State Park,yelp
12/6/2019,"I took my grandkids on a surprise outing near my house and what a wonderful hidden gem this park is, and SO close to me. We drove around first.  Stopped at the rental shop to get ideas for our next visit  and then ended up near the lake for a great picnic. The kids enjoyed the play park a lot. Then we headed off on an adventure down several trails enjoying the sights and sounds of nature. Even when nature called, facilities were available and clean. There were a lot of bikers and joggers on the long winding roads, so please go the speed limit and share the road carefully with all!  We even got to see the slow turtle peek out of his shell as we carefully passed him in the side of the road. The trail  near the creek was most enjoyable and even included a bench to rest on. The grandkids are eager for our next visit in the spring when we'll probably rent bikes for everyone. I'm eager to go kayaking, myself!",Lizette B.,4 star rating,"Clermont, FL","Las Vegas, NV",Lake Louisa State Park,yelp
12/7/2019,"A clean large state park at the end of Key Biscayne. Perfect for walking and hanging out at the beach. The entrance fee per vehicle is only $8 for the day with friendly state park staff to tell you all about it. If you arrive late in the day, the cost drops to $4. Parking was convenient and the beach absolutely beautiful. People behaved themselves really well too. Great to spend the day at and not as crowded as other Miami area beaches.",Mark M.,5 star rating,"Miami, FL","Stockton, CA",Bill Baggs Cape Florida State Park,yelp
12/8/2019,"Silver Springs is beautiful park! I started coming here as a little girl with my grandparents. A recent visit to Florida we stopped by the park. You must take a ride on the glass bottom boat. Joe was awesome and very informative. The springs are full of wildlife. There were plenty of birds, fish and turtles. The best surprise of it all was the manatee and alligator . Joe did inform us of the monkeys in the park but we did not see any. I had a wonderful time !",Abby S.,5 star rating,"Lexington, KY","San Marcos, CA",Silver Springs State Park,yelp
12/9/2019,"My favorite pics that I took on my weekend trip to Marianna to tour the Florida State Caverns!!! It kept reminding me of the Avatar movie!! These pictures are not edited in any way so you can enjoy the natural beauty.The FIRST pic is a picture of the cavern's ""heart"" ... This was also around the time when we were warned that ""the ceiling was very low"" and to ""watch our step and watch our heads""... I looked up to make sure of where I was going... only to get two eyefuls of the person's buttcheeks ahead of me as they were bending over... and who apparently forgot their underoos and/or a belt at home!! Still had a great visit despite being nearly blinded by the light of the full moon...Highly recommend bringing water (this kind of humidity and lack of air movement can make you feel hot even when it's cold near the middle to end of the tour), bring a camera, comfortable shoes (that can handle slippery and/wet terrain), something other than a backpack (they'll make you wear it in front), if you're claustrophobic - bring whatever you need to be ""ok"" in an enclosed place for a long time... and last, but certainly not LEAST: your underoos and belts PLEASE, for the love of GOD!!! #floridacaverns #caverns #florida #flstateparks #fullmoon #plumberscrack #850strong #floridastrong",Yvette L.,5 star rating,"Tyndall AFB, FL","Rochester, NY",Florida Caverns State Park,yelp
12/10/2019,"Two mounds to walk up to see the view. It's a pretty view. Bathrooms, parking, historical plaques about information about the place. It's nice and small",Janice W.,4 star rating,"Tallahassee, FL","Miami Beach, FL",Lake Jackson Mounds Archaeological State Park,yelp
