Date,Review,Reviewer,Ratings,Locationusergeo,Statename,Country,parkname
9/8/2019,"We visited Fort Zachary Taylor after being given a recommendation and were told that it was the beach the locals used. We drove there and paid an entrance fee  but also saw that everyone had to pay to enter,  whether on foot, bicycle or car The car park was easily signposted but the area to the ""beach"" was not so we just followed some people. We walked through what was like a clearing in a woods to the beach area, but to call this a beach was a bit much. There's no sand, just a stony area where we placed our towels and headed into the sea. The whole sea is covered in rocks,  lots and lots of rocks.  They're was so sandy bits at all.  When you were standing in the water,  you were balancing precariously on large rocks.  The water wasn't clear either, it was  quite murky.It wasn't that pleasant at all,  so much so we cut our visit short.My biggest gripe here are the bathroom facilities.  Considering they're charging every person an entrance fee,  I thought they would have excellent facilities.  However,  they were disgusting.They were filthy dirty with lots of stagnant water floating on the floors.  No attendant on duty. I only used them to get changed as they were far too dirty to use the facilities.Overall I was very disappointed in my visit here,  not at all what I was expecting ",Sharsmyth,2.0 of 5 bubbles,Dublin,Dublin,Ireland,Fort Zachary Taylor Historic State Parktripadvisorreviews
9/6/2019,So I walked down from Duvall Street to visit the fort and the walk was a bit trying as there is no shade about half way there the shade disappears. The ranger at the gate was very nice and provided me with a little info. I then headed straight to the fort as that was the point of my visit. The fort has been wonderfully maintained/restored and there are lots of signs with info about the first through different periods of use. The area where they found the buried armaments was cool as was the view out on the water. Definitely a great place to visit. ,jehenson81,5.0 of 5 bubbles,Washington,Washington,United States,Fort Zachary Taylor Historic State Parktripadvisorreviews
8/18/2019,"What a beautiful and small beach. This should be a must visit. Clean place, nice guests and a beautiful scenery ",Mike,5.0 of 5 bubbles,Hamburg,Hamburg,Germany,Fort Zachary Taylor Historic State Parktripadvisorreviews
8/13/2019,"I loved exploring this fort. Enjoying it for it is the oldest one I have visited in the states. Closing your eyes you can almost hear the comings and going of every day life of the fort .  Exploring every aspect every corner nook and cranny. The American flag stood at half mast. The breeze was light as it flickered our FLAG. Cannons stand still and silent as you look around. You stand on the high battle easements taking in the water ways near the fort. Dr.Mudd who set John Wilks Booth's leg. Once spent 3 nights there before going to "" the dry fort"" that sits in the ocean 3 hours south. Not a place for children. You have to take water in.There is a restroom just before going into the fort. None inside. No gift shop. You can take a cab in. No bus goes to fort. Nor trolley. Enjoy.",Kat G,5.0 of 5 bubbles,Amelia Island,Amelia Island,United States,Fort Zachary Taylor Historic State Parktripadvisorreviews
8/3/2019,Wonderful place to visit and the beach inside is fantastic! Be aware that after 5PM the beach service terminates so go much earlier to enjoy it,avioste,5.0 of 5 bubbles,Italy,Italy,Italy,Fort Zachary Taylor Historic State Parktripadvisorreviews
7/24/2019,If you like history the fort itself is great.  Lots of interesting facts and a well preserved location.  Amazing views from the ramparts.  Also in the Fort State Park is a great beach with bikes chairs and umbrellas for rent.  There’s also a nice little snack bar. ,Byrnesy1995,5.0 of 5 bubbles,Massachusetts,Massachusetts,United States,Fort Zachary Taylor Historic State Parktripadvisorreviews
7/17/2019,"No sand to speak of. Beach Mainly consists of ROCKS! Painful rocks on bare feet so buy or bring water shoes. Chairs and umbrella are available to rent. Showers and concession make it a nice place to spend the day. The week we were here, the seaweed was terrible!!Overall the best beach on the island. ",Funtime24,3.0 of 5 bubbles,Washington,Washington,United States,Fort Zachary Taylor Historic State Parktripadvisorreviews
7/16/2019,Nice place for a swim snorkling and looking at the tropical fish. Not good for small children because of some current. Bring bathing shoes also. ,kyrretamber,4.0 of 5 bubbles,Oslo,Oslo,Norway,Fort Zachary Taylor Historic State Parktripadvisorreviews
5/15/2019,Great friendly staff at the entrance.  Lots of smelly seaweed . Wish there was more shady areas. Went back for sunset.  ,2CrazyOldTravelers,4.0 of 5 bubbles,United States,United States,United States,Fort Zachary Taylor Historic State Parktripadvisorreviews
5/14/2019,"We visited this site on foot off a cruise ship and had a fabulous time! It is worth the few dollar charge. Kind of confusing to find but once you walk past the do not enter signs on the right it's there. We were greeted with pelicans, a manatee sighting and a beautiful beach. The old fort is a great site with some incredible views from the top level. It's interesting to read our history. Definitely worth stopping at.",AshofAllTravels,5.0 of 5 bubbles,California,California,United States,Fort Zachary Taylor Historic State Parktripadvisorreviews
5/10/2019,"Good for active visit , look out for the old fort , and enjoy time on a beach. Beach a little bit rocky ( Entrance in to the water )   be ready for this.  It has tables, place  for barbecue . Best place to see sunset, best beach in Key West.",Igor K,5.0 of 5 bubbles,Florida,Florida,United States,Fort Zachary Taylor Historic State Parktripadvisorreviews
5/8/2019,We go here every year while in town and enjoy the beach area & snorkeling. It is beautiful here. This year we went more than once. They should have a weekly pass you could buy we would go more.,tallulah94,4.0 of 5 bubbles,New Jersey,New Jersey,United States,Fort Zachary Taylor Historic State Parktripadvisorreviews
5/7/2019,"The entrance and parking price 3,5$ / adult so it’s very favorable.The sunset is beautiful and enthralling",korinna,5.0 of 5 bubbles,Budapest,Budapest,Hungary,Fort Zachary Taylor Historic State Parktripadvisorreviews
4/29/2019,State Park that stands at the end of Key West.  How many hurricanes has this building endured over the years? ,StephenCross,4.0 of 5 bubbles,Dublin,Dublin,Ireland,Fort Zachary Taylor Historic State Parktripadvisorreviews
4/29/2019,"Key West is not known for beaches - we found this using Trip Advisor. It was PERFECT - again knowing there are not ""natural beaches"" in Key West.! Water was blue and clear..picnic tables..and a small beach to lay out on. I would bring water shoes as it is rocky. So glad we found this little slice of beach - walking distance from Duval/restaurants. We loved it!",flowercar,5.0 of 5 bubbles,flowercar,flowercar,flowercar,Fort Zachary Taylor Historic State Parktripadvisorreviews
4/26/2019,"this park and beach, along with the fort, are well worth a visit.  nearby is also a great public park with water spouts for kids and a coast guard ship.  Great location to watch the sunsets too.",jctokyo,5.0 of 5 bubbles,Hong Kong,Hong Kong,Hong Kong,Fort Zachary Taylor Historic State Parktripadvisorreviews
4/14/2019,"Very nice place. Very clean. Picnic area, grills(must bring charcoal) and a nice beach. You must were flip flops, the beach has a lot of stones. No lifeguards. You can rent chairs and umbrellas @$10 each. Also has bathrooms. Unfortunately the day we were there, it was windy and rough so there was a lot of seaweed. ",BaseballMom01,5.0 of 5 bubbles,New Jersey,New Jersey,United States,Fort Zachary Taylor Historic State Parktripadvisorreviews
4/1/2019,My husband and I had a great walking tour of Fort Zachary Taylor. There were so many cannons and observation areas. No wonder this Fort served as a vantage point for so many wars. It is good to see in person. ,Len,5.0 of 5 bubbles,Maryland,Maryland,United States,Fort Zachary Taylor Historic State Parktripadvisorreviews
4/1/2019,"We rented bicycles from our inn and ventured over to this park. Wonderful site. Take in the one hour tour of the fort. Our guide, Ed, was great. ",Tim F,5.0 of 5 bubbles,New York,New York,United States,Fort Zachary Taylor Historic State Parktripadvisorreviews
3/20/2019,"Good value entry. Smiling, friendly faces at the entrance. Nice walks, pleasant sea, decent snorkelling and quiet beach. ",Phil J,5.0 of 5 bubbles,United Kingdom,United Kingdom,United Kingdom,Fort Zachary Taylor Historic State Parktripadvisorreviews
7/5/2020,Nice Hiking Trails and Camping spot. Convenient location without the Destin prices and crowds. Make your reservation early if camping.,JENEinVEGAS,5.0 of 5 bubbles,Hudson,Florida,United States,Fred Gannon Rocky Bayou State Parktripadvisorreviews
2/9/2020,"We visited Rocky Bayou State Park on a cool day. We parked in the middle of the park and hiked all three of the major trails in addition to walking along the narrow beach of the bayou. The scenery was excellent and the water was extremely clear. Along the trails, the most striking feature are the beds of deer lichen covering the forest floor. A brochure at the beginning of the Red Cedar trail stated that deer lichen can only thrive in areas with low pollution. It also takes 75-100 years for deer lichen to become established. The air indeed was so refreshing. The variety of plants and birds were awesome. Our entire visit lasted only a couple of hours. I highly recommend visiting Rocky Bayou!",TrailTrekker15,5.0 of 5 bubbles,Tallahassee,Florida,United States,Fred Gannon Rocky Bayou State Parktripadvisorreviews
9/3/2019,You can see this from 85 and its beautiful. Most beautiful at sunrise and sunset. Theres fresh water creeks that run into the bay. If you have a boat or anything like that you can get your explore on like Christopher Columbus. Definitely worth a day on the water,Amber W,5.0 of 5 bubbles,Niceville,Florida,United States,Fred Gannon Rocky Bayou State Parktripadvisorreviews
8/6/2019,"We love visiting this park. It has great trail and you can rent kayaks and go out on the bay. We haven't camped there yet, but plan to this fall. I recommend any of the state parks. I love all we have visited so far.",TMC274,5.0 of 5 bubbles,Niceville,Florida,United States,Fred Gannon Rocky Bayou State Parktripadvisorreviews
4/13/2019,Great place to hike or have a picnic.  Picnic area is very nice with playground and modern bathrooms.  Very good boat lunch.  Hiking trails are well marked and with views of Rocky Bayou.  The only negative and not due to the park is that water quality in Rocky Bayou can be poor.  Check local newspaper for water quality reports.,Lake1020,4.0 of 5 bubbles,Niceville,Florida,United States,Fred Gannon Rocky Bayou State Parktripadvisorreviews
3/29/2019,"If you're looking for nice quiet place to camp this is it! Trails are nearby and you can always visit Bluewater for supplies. Clean, quiet, room for activities what more could you ask for?",silverdoll44,5.0 of 5 bubbles,Crestview,Florida,United States,Fred Gannon Rocky Bayou State Parktripadvisorreviews
4/5/2019,"I love this state park. Campingwas great. The bathrooms werefine except a issue with the shower.I wanted to canoe but did not.I would go to this park again.The one disadvantage is toll togo places, it adds to the cost.Very pretty park.",snugglesiniowa,4.0 of 5 bubbles,Cedar Rapids,Iowa,United States,Fred Gannon Rocky Bayou State Parktripadvisorreviews
1/6/2020,"Been there a few times. $5 to go. 3 different ‘hikes’ however they are only short walks and we easily do the 3 walks. Wildlife, trees and plants / plenty for kids to walk around and discover. They also have canoes for rent to go on the bay and a RV park. All well maintained.",frenchval88,5.0 of 5 bubbles,Stanton,Kentucky,United States,Fred Gannon Rocky Bayou State Parktripadvisorreviews
6/23/2020,"Low key. SUPER great park staff. Can rent kayak, canoe, SUP, bikes. Great trails for running. Definitely a hidden gem!",50yearOldGirlScout,5.0 of 5 bubbles,Statesville,North Carolina,United States,Fred Gannon Rocky Bayou State Parktripadvisorreviews
2/11/2021,Stayed for 10 nights very quiet Bathroom was clean had a nice laundry area as well as a place to wash dishes. Cute little store inside Ranger Station. Friendly staff. Keep in mind this is a small campground so every site you puck will have traffic driving past. Our site was right on the corner where the trails were so it was quite busy.,dawn53105,5.0 of 5 bubbles,Burlington,Wisconsin,United States,Fred Gannon Rocky Bayou State Parktripadvisorreviews
3/19/2019,This is a great state park to set up camp for your beach vacation. It is on the Bay not the gulf side but don't let that deter you from checking out this gem of a park. The rv sites are large and private. There is a boat ramp and kayak rentals. There is a nice walking trail as well. The beaches are just a short drive across the choctawachee bay bridge. My family and I had a great stay here. Will definitely be back. ,Bill b,5.0 of 5 bubbles,Tennessee,Tennessee,United States,Fred Gannon Rocky Bayou State Parktripadvisorreviews
10/18/2020,"Paynes prairie at distance. As others have said, this trail is well shaded and amenities and information are provided along the way. Even during these Covid times, there were facilities available for the long haul. Stay aware of  the changes in topography along the way as the trail twists and turns as its elevation changes.",kathryn b,4.0 of 5 bubbles,Lutz,Florida,United States,Gainesville Hawthorne State Trailtripadvisorreviews
10/22/2019,"This is a very scenic, 16 mile paved bike trail. It cuts across the top Paynes Prairie State Park. Its shady, lots of wildlife, and it intersects with LaChula Trail.",387indy,4.0 of 5 bubbles,Coral Springs,Florida,United States,Gainesville Hawthorne State Trailtripadvisorreviews
9/4/2019,On these blazing hot summer days it’s nice to fine a long shady route.  This ride provides just that.  Never crowded and very safe it has several start and stop locations with parking.  Bring plenty of water as this is a rural ride after you leave Gainesville.  Enjoy!,Compass214646,5.0 of 5 bubbles,Gainesville,Georgia,United States,Gainesville Hawthorne State Trailtripadvisorreviews
5/7/2019,Plenty of Wildlife along the trail. Family Friendly for hiking or biking also acessible to The LaChua Trail....................,CRH,5.0 of 5 bubbles,Gainesville,Georgia,United States,Gainesville Hawthorne State Trailtripadvisorreviews
9/3/2019,"Love this trail, such beautiful scenery. Amenties along the way - they sometimes persons in the area put out large coolers with water. ",Helen B,5.0 of 5 bubbles,Jackson,Mississippi,United States,Gainesville Hawthorne State Trailtripadvisorreviews
11/6/2019,"We visited on 4th Nov.  On arrival we saw that maintenance work was going on around the house and initially thought the tours would not be running.  They were running, which was great news.  The lady who did our tour was very knowledgeable and took us around the house room by room.  We thoroughly enjoyed the 1 hour tour.  The only thing I would say is take a small fan as there is no air conditioning and it was very hot. Would highly recommend.",Bumby2015,5.0 of 5 bubbles,Montrose,Nova Scotia,Canada,Gamble Plantation Historic State Parktripadvisorreviews
11/24/2019,"We were not sure what to expect on our visit but we’re certainly not disappointed.  We visited the small museum first and then were escorted round the plantation house by Jesse, our tour guide, for about 45 minutes.  Jesse was really informative and humorous, and definitely not boring.  He fluently relayed stories about the house, it’s occupants and historical events.  Well worth the $6.  ",Brixham23,5.0 of 5 bubbles,Norwich,England,United Kingdom,Gamble Plantation Historic State Parktripadvisorreviews
6/1/2019,"The history of the house was really interesting and we felt it was worth the few dollars for the tour. Jessie, our guide was knowledgeable and witty and we were fortunate enough to be the only 2 for that time. If you have even only a small interest in architecture or American history then the Gamble House is well worth the effort.",nialltruan,4.0 of 5 bubbles,Isle of Wight,England,United Kingdom,Gamble Plantation Historic State Parktripadvisorreviews
8/26/2019,We stopped here to check out a Florida Plantation. Not to much to do there but we were able to walk around the grounds. Lots of picnic tables if you want to bring a cooler and have lunch. ,whatadude,5.0 of 5 bubbles,Pueblo West,Colorado,United States,Gamble Plantation Historic State Parktripadvisorreviews
1/31/2021,"I visited this beautiful site while on a quick trip to the area. Of course the site was closed due to the virus. I was walking up the the visitors center and the caretaker on duty stepped out to say Hi. There was myself and two other couples within earshot when he (His name was Jesse, I believe) offered to deliver his presentation outside at the front door of the plantation. We all anxiously said YES and Jesse went on to deliver a fact-filled, colorful presentation about the Park and the history of the area. His presentation turned what was going to be a dull walk thru the Park, into a memorable highlight of my day. It was great to interact with Jesse who could obviously be seen enjoying his work.",Dennis R,5.0 of 5 bubbles,Riverview,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
1/23/2020,"We were #1 an 2 on the tour list for the day.  We got there at 9, signed up, walked around and took pictures.  .  GREAT looking house, GREAT tour guide.  Very informative as well as entertaining.  ",JoeSantoni,5.0 of 5 bubbles,Jacksonville,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
1/19/2020,"Right across the street from my old-fashioned barbershop is the Historic Gamble Plantation. Now, this was a Nineteenth Century sugar plantation, complete with slaves and everything. Back in the middle of last century, the place was falling apart, and the Daughters of the Confederacy hadn't the funds to repair it, so they came up with a real clever idea: Tell the Florida Legislature that Judah Benjamin, treasurer for the Confederacy, stayed there at the conclusion of the Civil War as he evaded capture by the Union. The higher-ups bought it and bam, the place was renovated and it sits today as a Florida State Park. It's a great place to hang out, a real nice house to tour,etc. Advise you wait for one of the few free weekends they have...",Wendell T,4.0 of 5 bubbles,Ellenton,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
1/7/2020,"The best part of this visit to the Gamble Plantation was our tour guide, Jessie.  He relayed a great deal of historical information and made the tour fun and informative.  The way Jessie told the history of the house and it's former occupants made you feel like you were there.   The Plantation grounds and the house are well maintained.",jean h,5.0 of 5 bubbles,Bradenton,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
12/30/2019,"The Gamble Plantation is authentic enough with the original foundation in the small mansion.  But virtually everything else has been burnt down or replaced including the furniture.  The sugar mill which provided revenue to the plantation is gone as are any of the other exterior buildings.  The solid ""tabby"" concrete walls in the main structure are nearly 2 feet thick and are original.  It was designed to try to keep the rooms cool in the Florida heat.  But the interior walls, ceilings, doors are floors are refinished.They took pains to furnish the rooms with authentic looking pieces from the era in this State Park.  But Robert Gamble had abandoned the plantation in bankruptcy after about 15 years and moved lock, stock and barrel back to Tallahassee where all of his furniture soon burnt up in a warehouse fire.Even the gift shop was devoid of souvenirs due to ""lack of state funding"" according to the woman behind the counter.  She couldn't be nicer and was apologetic about it.  The tour guide was extremely informative and had worked there over 10 years.  What I found most interesting were his fun facts about the origins of expressions like ""throw the baby out with the bath water"", ""sleep tight"" and ""hush puppies.""One visit at $6/person was more than enough.",Tony S,3.0 of 5 bubbles,Sarasota,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
12/9/2019,"Great place to learn about Old Florida. There are two free days at the house, once in March and one in December. Other times the house is opne but there is a charge. Very nice staff.",sskroll,4.0 of 5 bubbles,Orlando,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
11/3/2019,"Had a fantastic time here on 11-1-19. The guide Jesse was amazing.  His stories, facts, figures and humor made it a memorable visit.  The home is extremely interesting, and the renovation did not deter us from seeing the home.  Lovely property.",Kuuipo2006,5.0 of 5 bubbles,Bradenton,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
10/26/2019,"Had wanted to stop here for so long. Finally in the area and decided to do it. While the main plantation home is being renovated on the outside, the inside tells the true story. Thanks to Jesse he put our minds back into that time frame and gave us some great history as well as some quirky fun. I cannot even imagine living back in those days!!",Cindy P,5.0 of 5 bubbles,Cape Coral,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
9/20/2019,"Easy to find, interesting historic site. Worth it to take the guided tour, as that is the only way to enter the Mansion.Both the restored Mansion, and the story of its' restoration, are historically significant, and related to the Civil War.Currently undergoing some exterior restoration (paint, repair of eaves.)",LADB,4.0 of 5 bubbles,Seminole,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
8/23/2019,"Took a group from our Charlotte County Historical Society. Ted the park ranger-guide was totally knowledgable. You must take the tour inside, to really understand the history. It was on my bucket list and I was impressed that despite all that happened to the mansion, it has survived and has all the history all the stories to share for future generations. Although non of the furnishing are original, a great deal of care and money was spent to capture what it was like to live there in the mid 19th century. Too bad all the original land had been sold off. It would be totally awesome to visit the mansion where it was placed just north of the river and surrounded by thousands of acres.",Ted E,4.0 of 5 bubbles,Port Charlotte,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
6/16/2019,Amazing time with the wife just relaxing in the Ellington area if you’re looking for a little humor on a historic tour Jesse is your man is. ,James M,5.0 of 5 bubbles,Lakeland,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
6/8/2019,"Snow birds for many years, we are now living in Sarasota, FL year round.  As retirees with time on our hands, we often find ourselves looking for local adventures.  We visited this park last Monday after seeing it on the TripAdvisor site.  The park ranger, Jessie, was the ticket seller, museum manager, and tour guide.  Our 'tour' was a very private affair as we were the only 2 visitors at this time (immediately after lunch break).  Jessie was very well informed, funny, and a great story teller.  We learned a great deal about the history of the plantation, the politics of the Civil War era into the early 1900's, and the Ellenton area. There is a small museum with displays and handouts which offer additional information.  This was a very pleasant and informative way to spend a few hours on a hot and sunny summer day.  ",Karen R,5.0 of 5 bubbles,Sarasota,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
5/9/2019,"You MUST spend the few dollars (6) to take the tour. The gentlemen who gives the tour is extremely detailed and very knowledgeable. He also had a very dry, entertaining sense of humor that accompanied the detailed information. You have a real sense of history and the struggles that were faced during that time period. Those who were slaves are recorded in memory in the museum. Interesting to see how people lived during that era, and we left with feeling we learned quite a bit about the civil war period and how people lived in the Florida heat during that time period. I would recommend for adults and certainly for history buffs. not for young children, as they are mindful that nothing should be touched during the tour.",SRQ57,5.0 of 5 bubbles,Bradenton,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
5/8/2019,"Really, if you're a history buff, you want to visit this sole surviving antebellum mansion on the FL peninsula. Nicely restored, with period furnishings, and a knowledgeable and entertaining tour, for only $6. They are perfectly up front about the first owner having used slave labor to run his plantation, which was poorly managed and then failed. The later history of the house was also interesting, as was the small museum. This is a very non-commercial operation, no big store or other distraction. The grounds are nice for strolling too.",Moyshekapoyer,5.0 of 5 bubbles,Sarasota,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
4/25/2019,"AAA recommended this as a free attraction so we were surprised to find that ""free"" didn't include seeing the mansion at all.  You can't go in without being part of a tour group and the tours cost $6 for adults.  We went through the small museum and then walked around the outside of the mansion.  The museum did give us some background that helped understand what we saw, ie. the huge cistern.It is worth the price (of $0) but I wouldn't consider it a major attraction unless you can take the tour.  They were booked up with school age children when we were there.  Maybe you can call ahead to check on that if you are going to have limited time for your visit.",gjvision,3.0 of 5 bubbles,Okahumpka,Florida,United States,Gamble Plantation Historic State Parktripadvisorreviews
6/4/2019,We attempted to visit and tour the Gamble Plantation last Saturday. When we got there the door to the visitor center was locked. The only employee was giving a tour. You can not do a tour on your own...WHY??????? So we left...not a fun visit. This experience makes me not want to return.,traveldancers,2.0 of 5 bubbles,Woodstock,Georgia,United States,Gamble Plantation Historic State Parktripadvisorreviews
1/18/2020,The grounds are beautiful and the home is well maintained.Interesting history.Learned a lot about the history of Florida.The history of the plantation is really interesting,Blyth64062,4.0 of 5 bubbles,Lawson,Missouri,United States,Gamble Plantation Historic State Parktripadvisorreviews
10/9/2019,"So i went with my family and we had a good time. The tour guide June was very nice, very knowledgeable and knew what she was doing. I definitely recommend that you go with your family.",Hunter Hartlieb,5.0 of 5 bubbles,Hamburg,New Jersey,United States,Gamble Plantation Historic State Parktripadvisorreviews
1/4/2020,"We went to go visit the plantation house in Ellenton for the 2nd time. 1st time it was closed. This time it was a rainy day. There was no one there except the ranger and your guide. We got there at 2.10 pm. The tours start every hour. There was no your at 2 as there were no people. We asked how long the tour took. 40 min. We asked if we could have a tour, nope not until 3 pm. We asked why? He said because it would be unfair for the people of the 3 pm tour... there was no one there, there had been no tours yet that afternoon because there was no one there and the tour would have finished in time for a 3 pm tour... we said we can’t wait 45 min to start a tour at 3 pm and left. Very strange, unhelpful and not very friendly. Shame as it looked like a nice place to visit. ",Aldert V,1.0 of 5 bubbles,Burlington,Vermont,United States,Gamble Plantation Historic State Parktripadvisorreviews
2/17/2020,The oldest plantation house in Florida was a very interesting and educational tour through the house and is on beautiful grounds. It's a nice relaxing day just walking these wonderful grounds and house.,Pennsylvaniaprincess,5.0 of 5 bubbles,Pennsylvania,Pennsylvania,United States,Gamble Plantation Historic State Parktripadvisorreviews
2/2/2020,"We were lucky enough to get in on the beach side of the road.  The sites inland are good for people who want it quieter ( no sounds of road traffic or ocean waves) or who want less sand tracking in, or a bit more space.   All sites are good.  The staff and volunteers are so good, taking care of the park and the sites and the interesting programs.  Lots to do in the area too. Flagler Beach is a nice town, just North and Ormond and Daytona Beach is just south of here. It’s not always easy to get a spot here, but we like it. ",jannipoo2018,5.0 of 5 bubbles,Brights Grove,Ontario,Canada,Gamble Rogers Memorial State Recreation Areatripadvisorreviews
11/1/2020,"Apparently this place is hard to get reservations but found a solitary Saturday night open on October 31 and stayed  here for the night in our RV. It’s an awesome campground. Pet friendly but you can’t bring your dog on the beach in front of the park you have to go to the south or north end. The south end has a gate easy to get to the beach and our dog loved it. Would love to stay longer but with the reservation system online it seems like all the camping spots in Central Florida where we live are always booked up. They need to have a better system for people to cancel because there were several spots at this campground that went unused over the weekend which I’m sure other people would’ve liked to use. Even though it said all spots were reserved online . The Rangers were very nice to check in and the bathrooms clean like the other reviews have said. I would definitely like to stay here longer to enjoy the beach and possibly bring a boat as there is a boat ramp here are the access to the intracoastal. The other campers were very friendly and had well behaved dogs. A bicycle would be good too because the sidewalks go north and south forever. Beautiful site, love to see these well-managed state parks so much better than private campgrounds that are always gross and too close to each other. Will be back ",MD-USA,5.0 of 5 bubbles,Lorida,Florida,United States,Gamble Rogers Memorial State Recreation Areatripadvisorreviews
9/25/2020,"Great place, really hard to get into.  The bathrooms are always clean.  The ocean is right in  front of you.",Linn P,5.0 of 5 bubbles,Brooksville,Florida,United States,Gamble Rogers Memorial State Recreation Areatripadvisorreviews
9/4/2020,"Great park for camping near the beach. Very well kept, dog friendly, staff is very nice. Be aware that the site sizes are spot on, so if you reserve a too small site you probably won’t fit.",CPandBP,5.0 of 5 bubbles,Orlando,Florida,United States,Gamble Rogers Memorial State Recreation Areatripadvisorreviews
5/21/2020,"If you are lucky enough to get a campsite on the ocean side of the park, you can look out your windshield and see the Atlantic Ocean.  The river side of the park is nice and quiet.  Water and electric only for most sires with a dump station.  Lots of activities all around the area.",Ron G,5.0 of 5 bubbles,Ocala,Florida,United States,Gamble Rogers Memorial State Recreation Areatripadvisorreviews
8/25/2019,"For $26.00 we had a wonderful campsite, riverside, with just a short walking distance to the beach and from there a lovely stroll to High Tides @ Snack Jacks Restaurant! Gorgeous view of Flagler Beach while eating! No crowds! I would like to try this again when the weather is cooler in the fall. Typical ants and bugs... bring the spray, but camp sites were large and clean and so were the restrooms. Friendly and attentive Rangers. Firewood on sale on site!",Melissa P,5.0 of 5 bubbles,Kissimmee,Florida,United States,Gamble Rogers Memorial State Recreation Areatripadvisorreviews
6/25/2019,Stayed a couple of weekends ago with grandkids. First night was on river side. Very quiet and extremely clean bathrooms.  Stayed second night on beach side. Had a beach overlook by our site. Just a short walk to beach access. Not many people on beach.  Beautiful camping trip. Someone had hid painted rocks. Grandkids loved hunting for them and then rehiding them.  ,MelFry123,5.0 of 5 bubbles,Florida City,Florida,United States,Gamble Rogers Memorial State Recreation Areatripadvisorreviews
6/12/2019,"Stayed one night in an RV / SUV camping here in early June and it was great.  Very nice quiet beach with sand that has a course and orange / sandstone color hue to it.  Not very many shells or seaglass at all along this strech of the beach, but tons of little sand crabs and coquina shells that are fun to watch as they bury themselves in the sand when the waves retreat back into the ocean.  The oceanside camp site that we had was a little tight (south side sites on the ocean seem smaller than the sites on the north side) and close to the neighbors with no shade, but the location steps from the beach makes you forget about those negatives.  Very clean bathrooms, friendly rangers, and surprisingly little to no bugs at our oceanside site (it was a cloudy early June day with periods of rain and a bit breezy so not sure how the bugs are in other weather conditions).  This was a most pleasant surprise as we fully expected to have lots of no-see um bugs or mosquitoes but nope, the day and night were there they were a non issue.Easy walk to a good beachfront restaurant ( High Tides at Snack Jacks)  just north of the campsite.  The downtown Flagler beach area is a bit further north.  Quiet campsite even though you are between the beach and the road A1A the road noise is almost invisible and there is plenty of vegetation where you don't even see the road....and yes you hear the waves at night.  The beach next to the campground does not allow dogs but the city beach that is literally just as easy to get to by walking and close by just south of the campsites does allow dogs on the beach.  Beautiful sunrises will await you!",TravelerDave24,5.0 of 5 bubbles,Clermont,Florida,United States,Gamble Rogers Memorial State Recreation Areatripadvisorreviews
5/23/2019,Easy to miss on A1A but probably one of the best nature/camping spots in the area and worth the visit,Sergio V,5.0 of 5 bubbles,Flagler Beach,Florida,United States,Gamble Rogers Memorial State Recreation Areatripadvisorreviews
5/2/2019,"Such a lovely campsite , great helpful staff , clean facilities, right on the beach and inlet with kayak rentals ,wish it was a secret , always full very very hard to get booked into ! Can,t wait to return .",demartino,5.0 of 5 bubbles,Clermont,Florida,United States,Gamble Rogers Memorial State Recreation Areatripadvisorreviews
4/13/2019,"We love it here for a relaxing place to stay in our RV. They have 2 camping areas, one on the ocean and one on the intercostal.Nice restrooms and showers. Fishing from dock or you can launch a boat.",Linda F,5.0 of 5 bubbles,Jupiter,Florida,United States,Gamble Rogers Memorial State Recreation Areatripadvisorreviews
3/8/2020,"This was our third visit to this campground. The facilities are still excellent as well as the nearness to the beach. The spaces are close and parking a camper can be tight. The beach is good for sitting, but not so much for walking or shelling. The golden sand is difficult to walk in. There are several hiking areas nearby. Watching for Right Whales was a treat. We learned the day we were leaving that a mother and calf had been seen right off shore a week earlier. Also, it is easy to bike into the small town of Flagler Beach for good restaurants like The Vessel.",MargyS,4.0 of 5 bubbles,Oak Ridge,Tennessee,United States,Gamble Rogers Memorial State Recreation Areatripadvisorreviews
2/4/2021,This park has been my favorites since the 1970s and one of the few parks in Florida you can camp almost on the beach. Good facilities and I would like to say a good word for ranger Kevin O. who is very helpful courteous and went out of his way to help us out.,william S,5.0 of 5 bubbles,United States,United States,United States,Gamble Rogers Memorial State Recreation Areatripadvisorreviews
